Title,Rating,Information
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.4,"        Movie (1 eps)        Sep 2019 - Sep 2019        225,670 members      "
Barakamon,8.4,"        TV (12 eps)        Jul 2014 - Sep 2014        533,779 members      "
Josee to Tora to Sakana-tachi,8.4,"        Movie (1 eps)        Dec 2020 - Dec 2020        78,588 members      "
Kizumonogatari I: Tekketsu-hen,8.4,"        Movie (1 eps)        Jan 2016 - Jan 2016        402,059 members      "
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.39,"        TV (11 eps)        Apr 2011 - Jun 2011        1,266,847 members      "
Cowboy Bebop: Tengoku no Tobira,8.39,"        Movie (1 eps)        Sep 2001 - Sep 2001        289,612 members      "
Hellsing Ultimate,8.39,"        OVA (10 eps)        Feb 2006 - Dec 2012        717,741 members      "
Kaze no Tani no Nausicaä,8.39,"        Movie (1 eps)        Mar 1984 - Mar 1984        292,257 members      "
Luo Xiao Hei Zhan Ji (Movie),8.39,"        Movie (1 eps)        Sep 2019 - Sep 2019        9,588 members      "
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.39,"        Movie (1 eps)        Oct 2012 - Oct 2012        169,466 members      "
Tensei shitara Slime Datta Ken 2nd Season,8.39,"        TV (12 eps)        Jan 2021 - Mar 2021        486,107 members      "
Bakuman. 2nd Season,8.38,"        TV (25 eps)        Oct 2011 - Mar 2012        300,564 members      "
Kiseijuu: Sei no Kakuritsu,8.38,"        TV (24 eps)        Oct 2014 - Mar 2015        1,374,199 members      "
Kamisama Hajimemashita: Kako-hen,8.37,"        OVA (4 eps)        Aug 2015 - Aug 2016        124,913 members      "
Kingdom 2nd Season,8.37,"        TV (39 eps)        Jun 2013 - Mar 2014        84,498 members      "
Kingdom 3rd Season,8.37,"        TV (26 eps)        Apr 2020 -         45,724 members      "
Mahou Shoujo Madoka★Magica,8.37,"        TV (12 eps)        Jan 2011 - Apr 2011        1,024,392 members      "
Major S6,8.37,"        TV (25 eps)        Apr 2010 - Sep 2010        52,555 members      "
Psycho-Pass,8.37,"        TV (22 eps)        Oct 2012 - Mar 2013        1,296,353 members      "
Tenki no Ko,8.37,"        Movie (1 eps)        Jul 2019 - Jul 2019        582,595 members      "
Tian Guan Ci Fu,8.36,"        ONA (11 eps)        Oct 2020 - Jan 2021        51,796 members      "
Uchuu Senkan Yamato 2199,8.36,"        OVA (26 eps)        May 2012 - Oct 2013        95,811 members      "
Haikyuu!!: To the Top,8.36,"        TV (13 eps)        Jan 2020 - Apr 2020        570,442 members      "
Katanagatari,8.36,"        TV (12 eps)        Jan 2010 - Dec 2010        466,389 members      "
Bakemonogatari,8.35,"        TV (15 eps)        Jul 2009 - Jun 2010        1,137,003 members      "
Hotarubi no Mori e,8.35,"        Movie (1 eps)        Sep 2011 - Sep 2011        619,011 members      "
Mobile Suit Gundam: The Origin,8.35,"        OVA (6 eps)        Feb 2015 - May 2018        54,577 members      "
Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.35,"        OVA (1 eps)        Feb 2014 - Feb 2014        65,626 members      "
One Outs,8.35,"        TV (25 eps)        Oct 2008 - Apr 2009        192,176 members      "
Ookami to Koushinryou II,8.35,"        TV (12 eps)        Jul 2009 - Sep 2009        411,411 members      "
Romeo no Aoi Sora,8.35,"        TV (33 eps)        Jan 1995 - Dec 1995        39,219 members      "
Sakamichi no Apollon,8.35,"        TV (12 eps)        Apr 2012 - Jun 2012        302,571 members      "
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.34,"        TV (13 eps)        Oct 2018 - Dec 2018        1,109,958 members      "
Shinsekai yori,8.34,"        TV (25 eps)        Sep 2012 - Mar 2013        647,435 members      "
Boku dake ga Inai Machi,8.34,"        TV (12 eps)        Jan 2016 - Mar 2016        1,525,836 members      "
Evangelion: 2.0 You Can (Not) Advance,8.34,"        Movie (1 eps)        Jul 2009 - Jul 2009        375,604 members      "
Gintama: Shiroyasha Koutan,8.34,"        Special (1 eps)        Sep 2008 - Sep 2008        55,903 members      "
Given,8.34,"        TV (11 eps)        Jul 2019 - Sep 2019        330,343 members      "
Kemono no Souja Erin,8.34,"        TV (50 eps)        Jan 2009 - Dec 2009        71,253 members      "
Made in Abyss Movie 2: Hourou Suru Tasogare,8.34,"        Movie (1 eps)        Jan 2019 - Jan 2019        69,995 members      "
Major: World Series,8.34,"        OVA (2 eps)        Dec 2011 - Jan 2012        30,826 members      "
Doukyuusei (Movie),8.33,"        Movie (1 eps)        Feb 2016 - Feb 2016        180,237 members      "
Fate/stay night: Unlimited Blade Works 2nd Season,8.33,"        TV (13 eps)        Apr 2015 - Jun 2015        656,521 members      "
Great Pretender,8.33,"        TV (23 eps)        Jul 2020 - Dec 2020        363,463 members      "
K-On! Movie,8.33,"        Movie (1 eps)        Dec 2011 - Dec 2011        254,546 members      "
Kino no Tabi: The Beautiful World,8.33,"        TV (13 eps)        Apr 2003 - Jul 2003        238,960 members      "
Natsume Yuujinchou,8.33,"        TV (13 eps)        Jul 2008 - Sep 2008        432,180 members      "
Natsume Yuujinchou Go Specials,8.33,"        Special (2 eps)        Mar 2017 - Apr 2017        34,523 members      "
NHK ni Youkoso!,8.33,"        TV (24 eps)        Jul 2006 - Dec 2006        577,538 members      "
Shelter,8.33,"        Music (1 eps)        Oct 2016 - Oct 2016        280,070 members      "
Shirobako,8.33,"        TV (24 eps)        Oct 2014 - Mar 2015        366,886 members      "
Steins;Gate: Oukoubakko no Poriomania,8.33,"        Special (1 eps)        Feb 2012 - Feb 2012        356,764 members      "
Versailles no Bara,8.33,"        TV (40 eps)        Oct 1979 - Sep 1980        72,647 members      "
Neon Genesis Evangelion,8.32,"        TV (26 eps)        Oct 1995 - Mar 1996        1,271,397 members      "
Shiguang Daili Ren,8.33,"        ONA (11 eps)        Apr 2021 -         20,779 members      "
Dr. Stone,8.32,"        TV (24 eps)        Jul 2019 - Dec 2019        1,121,055 members      "
Fate/Zero,8.32,"        TV (13 eps)        Oct 2011 - Dec 2011        1,174,793 members      "
Hunter x Hunter: Original Video Animation,8.32,"        OVA (8 eps)        Jan 2002 - Apr 2002        105,877 members      "
